CD_MUN,NM_MUN,CNAE_section,MPI
4303202,Cacique Doble,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.012557810148733532
4303301,Caibaté,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0075862074905912
4303400,Caiçara,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008876968829374186
4303509,Camaquã,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.006464215544912376
4303558,Camargo,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.022009611405910946
4303608,Cambará do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.006161860861042896
4303673,Campestre da Serra,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.017899619438138333
4303707,Campina das Missões,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009058931348789014
4303806,Campinas do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.013723749597684272
4303905,Campo Bom,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.05251660472716929
4304002,Campo Novo,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.011759847673077242
4304101,Campos Borges,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.013174821211453394
4304200,Candelária,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008836622676721861
4304309,Cândido Godói,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008474077331545992
4304358,Candiota,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005205581075725394
4304408,Canela,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.03296437407603748
4304507,Canguçu,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0044411634577659785
4304606,Canoas,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.08201191506046966
4304614,Canudos do Vale,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.013289602891520981
4304622,Capão Bonito do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01031380525248211
4304630,Capão da Canoa,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010825352054477122
4304663,Capão do Leão,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008737867071428746
4304671,Capivari do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.011988326956016985
4304689,Capela de Santana,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.05108475384268277
4304697,Capitão,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.022505603597297977
4304705,Carazinho,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.018801871568212107
4304713,Caraá,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.014025889542830058
4304804,Carlos Barbosa,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.05528219549084752
4304903,Casca,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.017933634402098234
4304952,Caseiros,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.012746760265538908
4305009,Catuípe,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01279675350158493
4305108,Caxias do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.021401385768329898
